Point Cloud Intensity Analysis Report
==================================================
Generated: 2025-10-13 19:38:41
Data Path: /home/ailab/git/Team_2/Subin/OpenPCDet/data/custom_av/points
Total Files Analyzed: 28293

Summary by Frame ID Prefix:
------------------------------

Prefix 000:
  Files: 4939
  Mean Intensity: 0.2971
  Std Intensity: 0.0272
  Min Intensity: 0.2153
  Max Intensity: 0.3899

Prefix 001:
  Files: 1328
  Mean Intensity: 0.0690
  Std Intensity: 0.0182
  Min Intensity: 0.0393
  Max Intensity: 0.1248

Prefix 002:
  Files: 10907
  Mean Intensity: 0.0668
  Std Intensity: 0.0147
  Min Intensity: 0.0309
  Max Intensity: 0.1466

Prefix 003:
  Files: 1600
  Mean Intensity: 0.2348
  Std Intensity: 0.0164
  Min Intensity: 0.1803
  Max Intensity: 0.2841

Prefix 100:
  Files: 9519
  Mean Intensity: 0.1847
  Std Intensity: 0.1024
  Min Intensity: 0.0327
  Max Intensity: 0.3733


Detailed Results:
--------------------
Frame_ID	Prefix	Mean_Int	Std_Int	Min_Int	Max_Int	Num_Points
00000000	000	0.3630	0.1904	0.0000	0.9961	118674
00000001	000	0.3602	0.1908	0.0000	0.9961	118644
00000002	000	0.3568	0.1910	0.0000	0.9961	118753
00000003	000	0.3547	0.1906	0.0000	0.9961	118939
00000004	000	0.3568	0.1910	0.0000	0.9961	118843
00000005	000	0.3609	0.1904	0.0000	0.9961	118690
00000006	000	0.3609	0.1904	0.0000	0.9961	118399
00000007	000	0.3586	0.1900	0.0000	0.9961	118521
00000008	000	0.3572	0.1901	0.0000	0.9961	118446
00000009	000	0.3571	0.1905	0.0000	0.9961	118326
00000010	000	0.3579	0.1900	0.0000	0.9961	118458
00000011	000	0.3580	0.1896	0.0000	0.9961	118352
00000012	000	0.3570	0.1894	0.0000	0.9961	118536
00000013	000	0.3593	0.1899	0.0000	0.9961	118366
00000014	000	0.3592	0.1901	0.0000	0.9961	118382
00000015	000	0.3575	0.1900	0.0000	0.9961	118387
00000016	000	0.3557	0.1899	0.0000	0.9961	118438
00000017	000	0.3549	0.1899	0.0000	0.9961	118478
00000018	000	0.3556	0.1898	0.0000	0.9961	118378
00000019	000	0.3544	0.1910	0.0000	0.9961	118555
00000020	000	0.3521	0.1909	0.0000	0.9961	118797
00000021	000	0.3511	0.1897	0.0000	0.9961	118744
00000022	000	0.3507	0.1894	0.0000	0.9961	118621
00000023	000	0.3502	0.1887	0.0000	0.9961	118441
00000024	000	0.3516	0.1905	0.0000	0.9961	118224
00000025	000	0.3510	0.1929	0.0000	0.9961	118397
00000026	000	0.3488	0.1933	0.0000	0.9961	118123
00000027	000	0.3475	0.1942	0.0000	0.9961	118183
00000028	000	0.3488	0.1935	0.0000	0.9961	118130
00000029	000	0.3514	0.1941	0.0000	0.9961	118238
00000030	000	0.3535	0.1956	0.0000	0.9961	118122
00000031	000	0.3549	0.1978	0.0000	0.9961	118243
00000032	000	0.3593	0.2008	0.0000	0.9961	117992
00000033	000	0.3629	0.2054	0.0000	0.9961	117954
00000034	000	0.3645	0.2074	0.0000	0.9961	117739
00000035	000	0.3666	0.2088	0.0000	0.9961	117880
00000036	000	0.3665	0.2104	0.0000	0.9961	117952
00000037	000	0.3663	0.2125	0.0000	0.9961	118135
00000038	000	0.3653	0.2133	0.0000	0.9961	117804
00000039	000	0.3639	0.2137	0.0000	0.9961	117654
00000040	000	0.3618	0.2146	0.0000	0.9961	117801
00000041	000	0.3604	0.2128	0.0000	0.9961	117924
00000042	000	0.3592	0.2102	0.0000	0.9961	118115
00000043	000	0.3546	0.2078	0.0000	0.9961	118578
00000044	000	0.3496	0.2063	0.0000	0.9961	118606
00000045	000	0.3480	0.2068	0.0000	0.9961	118510
00000046	000	0.3469	0.2079	0.0000	0.9961	118366
00000047	000	0.3440	0.2056	0.0000	0.9961	118433
00000048	000	0.3400	0.2020	0.0000	0.9961	118504
00000049	000	0.3374	0.2004	0.0000	0.9961	118781
00000050	000	0.3358	0.1976	0.0000	0.9961	118915
00000051	000	0.3321	0.1956	0.0000	0.9961	118734
00000052	000	0.3294	0.1936	0.0000	0.9961	118790
00000053	000	0.3272	0.1927	0.0000	0.9961	118433
00000054	000	0.3249	0.1944	0.0000	0.9961	118091
00000055	000	0.3225	0.1963	0.0000	0.9961	118224
00000056	000	0.3217	0.1953	0.0000	0.9961	118245
00000057	000	0.3204	0.1925	0.0000	0.9961	118425
00000058	000	0.3186	0.1908	0.0000	0.9961	118409
00000059	000	0.3170	0.1923	0.0000	0.9961	118647
00000060	000	0.3137	0.1936	0.0000	0.9961	118634
00000061	000	0.3126	0.1931	0.0000	0.9961	118425
00000062	000	0.3113	0.1912	0.0000	0.9961	118545
00000063	000	0.3098	0.1913	0.0000	0.9961	118642
00000064	000	0.3098	0.1904	0.0000	0.9961	118773
00000065	000	0.3091	0.1917	0.0000	0.9961	118974
00000066	000	0.3073	0.1923	0.0000	0.9961	119130
00000067	000	0.3065	0.1918	0.0000	0.9961	119037
00000068	000	0.3045	0.1912	0.0000	0.9961	119073
00000069	000	0.3043	0.1910	0.0000	0.9961	119139
00000070	000	0.3026	0.1898	0.0000	0.9961	119076
00000071	000	0.3014	0.1890	0.0000	0.9961	119006
00000072	000	0.2989	0.1874	0.0000	0.9961	119131
00000073	000	0.2976	0.1869	0.0000	0.9961	119154
00000074	000	0.2964	0.1869	0.0000	0.9961	119148
00000075	000	0.2949	0.1873	0.0000	0.9961	119070
00000076	000	0.2936	0.1868	0.0000	0.9961	119282
00000077	000	0.2936	0.1870	0.0000	0.9961	119154
00000078	000	0.2950	0.1873	0.0000	0.9961	118893
00000079	000	0.2976	0.1871	0.0000	0.9961	118674
00000080	000	0.2980	0.1857	0.0000	0.9961	118718
00000081	000	0.2979	0.1843	0.0000	0.9961	118854
00000082	000	0.2970	0.1840	0.0000	0.9961	119101
00000083	000	0.2969	0.1842	0.0000	0.9961	118974
00000084	000	0.2962	0.1844	0.0000	0.9961	119164
00000085	000	0.2946	0.1841	0.0000	0.9961	119336
00000086	000	0.2938	0.1859	0.0000	0.9961	119425
00000087	000	0.2950	0.1859	0.0000	0.9961	119060
00000088	000	0.2952	0.1866	0.0000	0.9961	118785
00000089	000	0.2943	0.1854	0.0000	0.9961	118603
00000090	000	0.2938	0.1857	0.0000	0.9961	118600
00000091	000	0.2932	0.1870	0.0000	0.9961	118519
00000092	000	0.2919	0.1879	0.0000	0.9961	118385
00000093	000	0.2900	0.1875	0.0000	0.9961	118835
00000094	000	0.2893	0.1885	0.0000	0.9961	118605
00000095	000	0.2903	0.1893	0.0000	0.9961	118483
00000096	000	0.2904	0.1900	0.0000	0.9961	118422
00000097	000	0.2918	0.1903	0.0000	0.9961	118280
00000098	000	0.2931	0.1910	0.0000	0.9961	117979
00000099	000	0.2920	0.1914	0.0000	0.9961	118000
00000100	000	0.3012	0.1863	0.0000	0.9961	120041
00000101	000	0.3022	0.1855	0.0000	0.9961	119639
00000102	000	0.3056	0.1859	0.0000	0.9961	119037
00000103	000	0.3101	0.1852	0.0000	0.9961	118749
00000104	000	0.3105	0.1844	0.0000	0.9961	118320
00000105	000	0.3125	0.1852	0.0000	0.9961	117995
00000106	000	0.3133	0.1820	0.0000	0.9961	117344
00000107	000	0.3146	0.1839	0.0000	0.9961	117180
00000108	000	0.3153	0.1844	0.0000	0.9961	116813
00000109	000	0.3189	0.1840	0.0000	0.9961	116585
00000110	000	0.3202	0.1834	0.0000	0.9961	116473
00000111	000	0.3211	0.1814	0.0000	0.9961	116408
00000112	000	0.3234	0.1815	0.0000	0.9961	116254
00000113	000	0.3247	0.1824	0.0000	0.9961	116225
00000114	000	0.3243	0.1827	0.0000	0.9961	116302
