Frame_Index,Frame_ID,Points_Within_1m,Avg_Height_m,Status
0,00000000,1498,1.3600382,OK
1,00000001,1523,1.3645737,OK
2,00000002,1516,1.3623611,OK
3,00000003,1456,1.3639375,OK
4,00000004,1507,1.358626,OK
5,00000005,1515,1.3666039,OK
6,00000006,1496,1.3606476,OK
7,00000007,1478,1.3613216,OK
8,00000008,1511,1.3650893,OK
9,00000009,1551,1.3705397,OK
10,00000010,1485,1.3669261,OK
11,00000011,1536,1.3611279,OK
12,00000012,1554,1.3620961,OK
13,00000013,1484,1.3668664,OK
14,00000014,1485,1.3616027,OK
15,00000015,1529,1.358859,OK
16,00000016,1539,1.3621005,OK
17,00000017,1545,1.3630663,OK
18,00000018,1512,1.3631469,OK
19,00000019,1594,1.3647285,OK
20,00000020,1533,1.3705361,OK
21,00000021,1581,1.3674506,OK
22,00000022,1521,1.3613108,OK
23,00000023,1584,1.3685452,OK
24,00000024,1517,1.362597,OK
25,00000025,1557,1.3679365,OK
26,00000026,1499,1.3627025,OK
27,00000027,1573,1.3674066,OK
28,00000028,1467,1.3576958,OK
29,00000029,1534,1.3592863,OK
30,00000030,1485,1.3596604,OK
31,00000031,1480,1.3602107,OK
32,00000032,1481,1.3639008,OK
33,00000033,1601,1.3640251,OK
34,00000034,1451,1.3601403,OK
35,00000035,1407,1.3545148,OK
36,00000036,1462,1.3629066,OK
37,00000037,1494,1.361776,OK
38,00000038,1444,1.3587085,OK
39,00000039,1407,1.3565534,OK
40,00000040,1538,1.3662757,OK
41,00000041,1545,1.365382,OK
42,00000042,1534,1.3627924,OK
43,00000043,1482,1.3656415,OK
44,00000044,1506,1.3610047,OK
45,00000045,1480,1.3636626,OK
46,00000046,1468,1.3630936,OK
47,00000047,1433,1.3721383,OK
48,00000048,1441,1.3636657,OK
49,00000049,1434,1.3622954,OK
50,00000050,1531,1.3649015,OK
51,00000051,1525,1.3627747,OK
52,00000052,1533,1.3655033,OK
53,00000053,1541,1.3648943,OK
54,00000054,1523,1.361558,OK
55,00000055,1555,1.3714589,OK
56,00000056,1539,1.3673102,OK
57,00000057,1494,1.3637908,OK
58,00000058,1528,1.3610234,OK
59,00000059,1429,1.3621752,OK
60,00000060,1496,1.3642887,OK
61,00000061,1447,1.3631467,OK
62,00000062,1426,1.361524,OK
63,00000063,1470,1.3614339,OK
64,00000064,1438,1.3615614,OK
65,00000065,1506,1.3611224,OK
66,00000066,1466,1.3658563,OK
67,00000067,1457,1.3625636,OK
68,00000068,1524,1.3664708,OK
69,00000069,1538,1.3699994,OK
70,00000070,1500,1.3627664,OK
71,00000071,1413,1.3619249,OK
72,00000072,1476,1.359972,OK
73,00000073,1531,1.3668603,OK
74,00000074,1456,1.3618662,OK
75,00000075,1511,1.3695326,OK
76,00000076,1458,1.3626283,OK
77,00000077,1429,1.3647199,OK
78,00000078,1506,1.3658947,OK
79,00000079,1480,1.3652031,OK
80,00000080,1505,1.3657025,OK
81,00000081,1503,1.3649001,OK
82,00000082,1527,1.3649892,OK
83,00000083,1450,1.368386,OK
84,00000084,1488,1.3653599,OK
85,00000085,1479,1.3635502,OK
86,00000086,2095,1.3649437,OK
87,00000087,2074,1.3553315,OK
88,00000088,2033,1.3482373,OK
89,00000089,2060,1.3529531,OK
90,00000090,1528,1.3557518,OK
91,00000091,1417,1.373302,OK
92,00000092,1465,1.369683,OK
93,00000093,1467,1.3710456,OK
94,00000094,1475,1.3706222,OK
95,00000095,1490,1.3677927,OK
96,00000096,1556,1.3701504,OK
97,00000097,1480,1.3678043,OK
98,00000098,1514,1.3677893,OK
99,00000099,1504,1.3678755,OK
100,00000100,1543,1.365394,OK
101,00000101,1584,1.3700697,OK
102,00000102,1498,1.3619525,OK
103,00000103,1482,1.3633922,OK
104,00000104,1562,1.3635068,OK
105,00000105,1532,1.368809,OK
106,00000106,1421,1.3679162,OK
107,00000107,1484,1.3698345,OK
108,00000108,1478,1.3642539,OK
109,00000109,1448,1.3658662,OK
110,00000110,1500,1.3600467,OK
111,00000111,1407,1.365419,OK
112,00000112,1383,1.3601223,OK
113,00000113,1402,1.3611546,OK
114,00000114,1421,1.3676504,OK
115,00000115,1497,1.3661845,OK
116,00000116,1422,1.3696636,OK
117,00000117,1506,1.3655056,OK
118,00000118,1480,1.3615679,OK
119,00000119,1552,1.3658566,OK
120,00000120,1480,1.368129,OK
121,00000121,1440,1.3664851,OK
122,00000122,1459,1.3672745,OK
123,00000123,1423,1.3677387,OK
124,00000124,1499,1.3639187,OK
125,00000125,1497,1.363391,OK
126,00000126,1484,1.3622864,OK
127,00000127,1510,1.3693013,OK
128,00000128,1501,1.3693624,OK
129,00000129,1515,1.3733305,OK
130,00000130,1485,1.3671132,OK
131,00000131,1482,1.3686975,OK
132,00000132,1474,1.3657651,OK
133,00000133,1544,1.3705572,OK
134,00000134,1540,1.3724359,OK
135,00000135,1516,1.3651857,OK
136,00000136,1574,1.3725432,OK
137,00000137,1555,1.3719566,OK
138,00000138,1440,1.3699352,OK
139,00000139,1475,1.3697044,OK
140,00000140,1528,1.3674974,OK
141,00000141,1513,1.3691775,OK
142,00000142,1479,1.3650414,OK
143,00000143,1521,1.3715701,OK
144,00000144,1562,1.3690828,OK
145,00000145,1543,1.3722447,OK
146,00000146,1572,1.3724852,OK
147,00000147,1615,1.3690774,OK
148,00000148,1553,1.363019,OK
149,00000149,1515,1.3687092,OK
150,00000150,1525,1.3634655,OK
151,00000151,1618,1.3717077,OK
152,00000152,1646,1.365261,OK
153,00000153,1457,1.3732483,OK
154,00000154,1525,1.3690585,OK
155,00000155,1600,1.3637775,OK
156,00000156,1483,1.3631644,OK
157,00000157,1610,1.36743,OK
158,00000158,1451,1.3708464,OK
159,00000159,1483,1.3692576,OK
160,00000160,1491,1.3685122,OK
161,00000161,1523,1.3654207,OK
162,00000162,1486,1.3690189,OK
163,00000163,1572,1.367389,OK
164,00000164,1515,1.3720214,OK
165,00000165,1586,1.369644,OK
166,00000166,1517,1.3701154,OK
167,00000167,1633,1.3636647,OK
168,00000168,1678,1.3627985,OK
169,00000169,1669,1.3547574,OK
170,00000170,1590,1.3443059,OK
171,00000171,2126,1.3646414,OK
172,00000172,1838,1.3396353,OK
173,00000173,1700,1.3592641,OK
174,00000174,1700,1.3617765,OK
175,00000175,1635,1.3717991,OK
176,00000176,1530,1.3768765,OK
177,00000177,1551,1.3691378,OK
178,00000178,1497,1.3740628,OK
179,00000179,1557,1.3709157,OK
180,00000180,1492,1.3705472,OK
181,00000181,1602,1.3671777,OK
182,00000182,1598,1.3686839,OK
183,00000183,1574,1.3689268,OK
184,00000184,1593,1.3679128,OK
185,00000185,1617,1.3675151,OK
186,00000186,1488,1.3687081,OK
187,00000187,1506,1.3674982,OK
188,00000188,1640,1.3692927,OK
189,00000189,1544,1.3652002,OK
190,00000190,1523,1.3673048,OK
191,00000191,1572,1.3709997,OK
192,00000192,1538,1.3680787,OK
193,00000193,1534,1.3690996,OK
194,00000194,1608,1.368683,OK
195,00000195,1619,1.3695692,OK
196,00000196,1615,1.3692428,OK
197,00000197,1604,1.3705269,OK
198,00000198,1566,1.3715683,OK
199,00000199,1602,1.3707511,OK
200,00000200,1400,1.3780484,OK
201,00000201,1375,1.3742546,OK
202,00000202,1403,1.3711996,OK
203,00000203,1338,1.3712395,OK
204,00000204,1443,1.3772525,OK
205,00000205,1432,1.3777752,OK
206,00000206,1405,1.3716826,OK
207,00000207,1360,1.3781139,OK
208,00000208,1313,1.3730648,OK
209,00000209,1408,1.3710043,OK
210,00000210,1405,1.3716497,OK
211,00000211,1368,1.3754505,OK
212,00000212,1418,1.3759815,OK
213,00000213,1454,1.3681543,OK
214,00000214,1513,1.3736912,OK
215,00000215,1448,1.3726162,OK
216,00000216,1451,1.3769032,OK
217,00000217,1397,1.3703313,OK
218,00000218,1394,1.370891,OK
219,00000219,1431,1.3727233,OK
220,00000220,1502,1.3717597,OK
221,00000221,1508,1.3699607,OK
222,00000222,1441,1.3685207,OK
223,00000223,1454,1.3668658,OK
224,00000224,1433,1.3697774,OK
225,00000225,1465,1.3696688,OK
226,00000226,1477,1.3740743,OK
227,00000227,1451,1.3705759,OK
228,00000228,1457,1.3699113,OK
229,00000229,1463,1.3740435,OK
230,00000230,1400,1.3722262,OK
231,00000231,1439,1.3692793,OK
232,00000232,1449,1.3704468,OK
233,00000233,1431,1.3654362,OK
234,00000234,1402,1.3714615,OK
235,00000235,1399,1.3714904,OK
236,00000236,1421,1.3687749,OK
237,00000237,1418,1.3722478,OK
238,00000238,1466,1.3695215,OK
239,00000239,1486,1.368309,OK
240,00000240,1467,1.3678598,OK
241,00000241,1458,1.3720933,OK
242,00000242,1389,1.3663195,OK
243,00000243,1406,1.3696029,OK
244,00000244,1465,1.367606,OK
245,00000245,1392,1.3720369,OK
246,00000246,1353,1.3747095,OK
247,00000247,1410,1.3669012,OK
248,00000248,1394,1.3704348,OK
249,00000249,1355,1.3707182,OK
250,00000250,1384,1.3767457,OK
251,00000251,1431,1.3753664,OK
252,00000252,1374,1.371255,OK
253,00000253,1471,1.3785272,OK
254,00000254,1512,1.3745376,OK
255,00000255,1415,1.3722191,OK
256,00000256,1412,1.3751854,OK
257,00000257,1459,1.3756418,OK
258,00000258,1434,1.3676695,OK
259,00000259,1459,1.367644,OK
260,00000260,1454,1.370074,OK
261,00000261,1416,1.3723937,OK
262,00000262,1462,1.3783607,OK
263,00000263,1462,1.3734326,OK
264,00000264,1424,1.37304,OK
265,00000265,1408,1.3726182,OK
266,00000266,1448,1.3748001,OK
267,00000267,1437,1.3694733,OK
268,00000268,1398,1.368529,OK
269,00000269,1423,1.3712548,OK
270,00000270,1504,1.3679651,OK
271,00000271,1440,1.3699127,OK
272,00000272,1465,1.37274,OK
273,00000273,1479,1.3705653,OK
274,00000274,1468,1.3739401,OK
275,00000275,1430,1.3701456,OK
