file_id,type,point_count_2m_radius,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity
10000000,clean,1314,0.014245,0.003922,0.029981,0.000000,0.215686
10000001,clean,1341,0.014411,0.003922,0.028512,0.000000,0.211765
10000002,clean,1329,0.013662,0.003922,0.026956,0.000000,0.203922
10000003,clean,1262,0.015208,0.003922,0.030541,0.000000,0.211765
10000004,clean,1291,0.014392,0.003922,0.027859,0.000000,0.200000
10000005,clean,1289,0.014004,0.003922,0.027675,0.000000,0.207843
10000006,clean,1370,0.014000,0.003922,0.029530,0.000000,0.207843
10000007,clean,1317,0.012858,0.003922,0.028508,0.000000,0.211765
10000008,clean,1394,0.012988,0.003922,0.026835,0.000000,0.219608
10000009,clean,1348,0.013013,0.003922,0.028415,0.000000,0.215686
10000010,clean,1351,0.012551,0.003922,0.026422,0.000000,0.211765
10000011,clean,1313,0.012915,0.003922,0.026135,0.000000,0.219608
10000012,clean,1237,0.013584,0.003922,0.028395,0.000000,0.211765
10000013,clean,1369,0.013071,0.003922,0.030151,0.000000,0.215686
10000014,clean,1312,0.014021,0.003922,0.030891,0.000000,0.227451
10000015,clean,1344,0.014119,0.003922,0.031640,0.000000,0.211765
10000016,clean,1306,0.014605,0.003922,0.031272,0.000000,0.207843
10000017,clean,1357,0.014533,0.003922,0.031468,0.000000,0.219608
10000018,clean,1335,0.013360,0.003922,0.028467,0.000000,0.223529
10000019,clean,1374,0.014034,0.003922,0.031052,0.000000,0.215686
10000020,clean,1406,0.013823,0.003922,0.030716,0.000000,0.223529
10000021,clean,1399,0.014739,0.003922,0.031705,0.000000,0.215686
10000022,clean,1369,0.013770,0.003922,0.030693,0.000000,0.211765
10000023,clean,1402,0.014086,0.003922,0.031062,0.000000,0.219608
10000024,clean,1494,0.013484,0.003922,0.030754,0.000000,0.223529
10000025,clean,1382,0.014092,0.003922,0.030404,0.000000,0.215686
10000026,clean,1517,0.013735,0.003922,0.031208,0.000000,0.215686
10000027,clean,1538,0.013634,0.003922,0.031017,0.000000,0.223529
10000028,clean,1436,0.014018,0.003922,0.030421,0.000000,0.247059
10000029,clean,1535,0.014358,0.003922,0.033013,0.000000,0.235294
10000030,clean,1440,0.014172,0.003922,0.031988,0.000000,0.211765
10000031,clean,1475,0.014500,0.003922,0.032522,0.000000,0.227451
10000032,clean,1451,0.014424,0.003922,0.032083,0.000000,0.219608
10000033,clean,1516,0.013762,0.003922,0.032250,0.000000,0.219608
10000034,clean,1494,0.013481,0.003922,0.029214,0.000000,0.219608
10000035,clean,1475,0.012961,0.003922,0.028304,0.000000,0.219608
10000036,clean,1427,0.014298,0.003922,0.030662,0.000000,0.223529
10000037,clean,1489,0.013735,0.003922,0.029262,0.000000,0.223529
10000038,clean,1445,0.013179,0.003922,0.028183,0.000000,0.207843
