metric,auc,auc_dist,cohen_d,noise_minus_clean
intensity_range_slope,0.967378,0.467378,2.509843,0.003337
near_air_ratio,0.928667,0.428667,2.442855,0.380319
curv_mean,0.925600,0.425600,2.175586,0.031670
intensity_range_r2,0.918933,0.418933,1.701520,0.079802
curv_p95,0.900378,0.400378,1.384669,0.089632
range_mean,0.143289,0.356711,-1.511449,-4.451982
near_backscatter_lowI_ratio,0.203311,0.296689,-0.685450,-0.154492
intensity_std,0.759644,0.259644,1.190997,0.054270
ror_fraction,0.288044,0.211956,-0.759534,-0.039774
knn_mean_dist_mean,0.297333,0.202667,-0.748776,-0.102484
outlier_fraction,0.654156,0.154156,0.399917,0.007494
range_p95,0.353733,0.146267,-0.566579,-3.940505
knn_mean_dist_p99,0.636000,0.136000,0.560001,0.520485
intensity_p99,0.630867,0.130867,0.714828,0.175669
range_max,0.611111,0.111111,0.628767,6.096106
far_range_ratio,0.401200,0.098800,-0.529462,-0.015319
linearity_mean,0.411289,0.088711,-0.302768,-0.006570
intensity_p1,0.437133,0.062867,-0.835303,-0.008758
radial_linear_aligned_ratio,0.443533,0.056467,-0.199264,-0.000563
knn_mean_dist_p95,0.453600,0.046400,-0.235568,-0.098521
intensity_mean,0.458089,0.041911,0.223524,0.020328
n_points,0.537800,0.037800,-0.160349,-1100.726667
az_outlier_gini,0.468044,0.031956,-0.111250,-0.008396
az_outlier_cv,0.482044,0.017956,-0.106491,-0.019407
range_p99,0.508356,0.008356,0.154404,1.036833
range_std,0.498267,0.001733,-0.093217,-0.203421
