metric,auc,auc_dist,cohen_d,noise_minus_clean
near_air_ratio,0.017733,0.482267,-3.525413,-0.419028
intensity_range_slope,0.026800,0.473200,-2.716658,-0.003871
intensity_range_r2,0.104044,0.395956,-1.493612,-0.074761
range_max,0.107022,0.392978,-1.476867,-21.963100
range_p99,0.111733,0.388267,-1.547837,-16.715397
intensity_std,0.140578,0.359422,-1.504509,-0.053371
range_std,0.140978,0.359022,-1.475470,-3.364259
far_range_ratio,0.141711,0.358289,-1.264217,-0.027234
range_p95,0.168489,0.331511,-1.370934,-11.743444
ror_fraction,0.178311,0.321689,-1.302336,-0.075685
knn_mean_dist_mean,0.191422,0.308578,-1.245946,-0.214969
curv_p95,0.205889,0.294111,-0.821742,-0.062194
curv_mean,0.211200,0.288800,-0.926270,-0.019674
knn_mean_dist_p95,0.213778,0.286222,-1.158623,-0.634063
n_points,0.776178,0.276178,0.820342,9118.766667
knn_mean_dist_p99,0.243156,0.256844,-1.037493,-1.237762
range_mean,0.294800,0.205200,-0.774238,-2.574003
intensity_p99,0.327067,0.172933,-0.771966,-0.142818
az_outlier_gini,0.642550,0.142550,0.539643,0.044394
az_outlier_cv,0.639508,0.139508,0.592552,0.132917
linearity_mean,0.391689,0.108311,-0.567334,-0.024371
intensity_mean,0.587111,0.087111,-0.033701,-0.002133
outlier_fraction,0.555756,0.055756,0.136551,0.003106
near_backscatter_lowI_ratio,0.450689,0.049311,-0.058774,-0.013165
radial_linear_aligned_ratio,0.534356,0.034356,0.161882,0.000530
intensity_p1,0.525022,0.025022,0.649044,0.021792
